材料名,部材名,仕上げ長さ,仕上げ幅,仕上げ厚,数量,0,0,木目,0,0,0,0,縁張り1,縁張り3,縁張り4,縁張り2,BARCODE,表面材,裏面材,品目名,オーダー名,,,材料名,仕上げ総寸法,カット長さ,カット幅,RTHK,NC_PROGRAM_1,IDENT_INFO1,NC_PROGRAM_2,IDENT_INFO2,案件名,製品名,設置場所,日付,INFO5,INFO6,INFO7,INFO8,INFO9,INFO10,裏面材名,表面材名,画像パス
幕板_後ろ,shina_ranba_t18,696,80,18,1,0,0,1,0,0,0,0, , ,dabo,dabo,1005,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,000:000::,,シナランバー/18mm,696.0 x 80.0 x 18.0,696,80,18,,1,,,18_80,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16399.wmf
引出化粧前板,shina_ranba_t18,426,222,20,1,0,0,0,0,0,0,0,1mm,naneme_ue,1mm,1mm,1030,meramin_mokume,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,010:001:000:,,シナランバー/18mm,426.0 x 222.0 x 20.0,425,222,18,,,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_072
引出化粧前板,shina_ranba_t18,426,150,20,1,0,0,0,0,0,0,0,naneme_ue,1mm,1mm,1mm,1037,meramin_mokume,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,001:010::000,,シナランバー/18mm,426.0 x 150.0 x 20.0,425,150,18,,,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_072
引出化粧前板,shina_ranba_t18,426,145,20,1,0,0,0,0,0,0,0,naneme_ue,1mm,1mm,1mm,1044,meramin_mokume,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,001:010::000,,シナランバー/18mm,426.0 x 145.0 x 20.0,425,145,18,,,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_072
引出前板,teimera_t20,334.6,171.5,20,1,0,0,0,0,0,0,0, ,0_5mm,dabo,dabo,1031,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:010:010:000,,低圧メラミン20mm/白/光沢,334.6 x 171.5 x 20.0,334.6,171.5,20,,1,,,20_171.5,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16403.wmf
引出右側板,teimera_t20,340,187,20,1,0,0,0,0,0,0,0, ,0_5mm, , ,1032,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:000::,,低圧メラミン20mm/白/光沢,340.0 x 187.0 x 20.0,340,187,20,1032,,2032,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16404.wmf
引出背板,teimera_t20,334.6,171.5,20,1,0,0,0,0,0,0,0, ,0_5mm,dabo,dabo,1033,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:010:010:000,,低圧メラミン20mm/白/光沢,334.6 x 171.5 x 20.0,334.6,171.5,20,,1,,,20_171.5,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16405.wmf
引出左側板,teimera_t20,340,187,20,1,0,0,0,0,0,0,0, ,0_5mm, , ,1034,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:000::,,低圧メラミン20mm/白/光沢,340.0 x 187.0 x 20.0,340,187,20,1034,,2034,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16406.wmf
引出底板,pori_t4,334,344.6,4,1,0,0,1,0,0,0,0, , , , ,1035,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:::,,背板ポリ_LP/3.8mm/木目,334.0 x 344.6 x 4.0,334,344.6,4,,1,,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16407.wmf
引出前板,teimera_t20,334.6,99.5,20,1,0,0,0,0,0,0,0, ,0_5mm,dabo,dabo,1038,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:010:010:000,,低圧メラミン20mm/白/光沢,334.6 x 99.5 x 20.0,334.6,99.5,20,,1,,,20_99.5,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16408.wmf
引出右側板,teimera_t20,340,115,20,1,0,0,0,0,0,0,0, ,0_5mm, , ,1039,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:000::,,低圧メラミン20mm/白/光沢,340.0 x 115.0 x 20.0,340,115,20,1039,,2039,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16409.wmf
引出背板,teimera_t20,334.6,99.5,20,1,0,0,0,0,0,0,0, ,0_5mm,dabo,dabo,1040,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:010:010:000,,低圧メラミン20mm/白/光沢,334.6 x 99.5 x 20.0,334.6,99.5,20,,1,,,20_99.5,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16410.wmf
引出左側板,teimera_t20,340,115,20,1,0,0,0,0,0,0,0, ,0_5mm, , ,1041,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:000::,,低圧メラミン20mm/白/光沢,340.0 x 115.0 x 20.0,340,115,20,1041,,2041,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16411.wmf
引出底板,pori_t4,334,344.6,4,1,0,0,1,0,0,0,0, , , , ,1042,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:::,,背板ポリ_LP/3.8mm/木目,334.0 x 344.6 x 4.0,334,344.6,4,,1,,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16412.wmf
引出前板,teimera_t20,334.6,94.5,20,1,0,0,0,0,0,0,0, ,0_5mm,dabo,dabo,1045,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:010:010:000,,低圧メラミン20mm/白/光沢,334.6 x 94.5 x 20.0,334.6,94.5,20,,1,,,20_94.5,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16413.wmf
引出右側板,teimera_t20,340,110,20,1,0,0,0,0,0,0,0, ,0_5mm, , ,1046,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:000::,,低圧メラミン20mm/白/光沢,340.0 x 110.0 x 20.0,340,110,20,1046,,2046,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16414.wmf
引出背板,teimera_t20,334.6,94.5,20,1,0,0,0,0,0,0,0, ,0_5mm,dabo,dabo,1047,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:010:010:000,,低圧メラミン20mm/白/光沢,334.6 x 94.5 x 20.0,334.6,94.5,20,,1,,,20_94.5,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16415.wmf
引出左側板,teimera_t20,340,110,20,1,0,0,0,0,0,0,0, ,0_5mm, , ,1048,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:000::,,低圧メラミン20mm/白/光沢,340.0 x 110.0 x 20.0,340,110,20,1048,,2048,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16416.wmf
引出底板,pori_t4,334,344.6,4,1,0,0,1,0,0,0,0, , , , ,1049,,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,:::,,背板ポリ_LP/3.8mm/木目,334.0 x 344.6 x 4.0,334,344.6,4,,1,,,,,,,,,,,,,No_Surface,No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16417.wmf
天板,shina_beniya_t9,536,587.5,10,1,0,0,1,0,0,0,0,1mm, , , ,1067,,meramin_mokume,rusutu_right_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナべニア/9mm,536.0 x 587.5 x 10.0,536,587,9,,,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16418.wmf
右側板,shina_ranba_t18,873,609.5,19,1,0,0,1,0,0,0,0,1mm, , , ,1068,meramin_mokume,,rusutu_right_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナランバー/18mm,873.0 x 609.5 x 19.0,873,609,18,1068,,,,,,,,,,,,,,No_Surface,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16419.w
左側板,shina_ranba_t18,873,609.5,20,1,0,0,0,0,0,0,0,1mm, , , ,1069,meramin_mokume,meramin_mokume,rusutu_right_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナランバー/18mm,873.0 x 609.5 x 20.0,873,609,18,1069,,2069,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\B
幕板_後ろ,shina_ranba_t18,873,497,19,1,0,0,1,0,0,0,0,dabo,dabo, , ,1070,,meramin_mokume,rusutu_right_sitadai,rusutu_mini_bar_suzuki_0720,000:000::,,シナランバー/18mm,873.0 x 497.0 x 19.0,873,497,18,1070,1,,,,18_873,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16421.
